regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos;interior/metropolitana
Nordeste;CE;;23;;;;2021-07-02;26;9132078;889947;2173;22692;65;;;
Nordeste;CE;;23;;;;2021-07-03;26;9132078;889947;0;22692;0;;;
Nordeste;CE;;23;;;;2021-07-04;27;9132078;892698;2751;22747;55;;;
Nordeste;CE;;23;;;;2021-07-05;27;9132078;893270;572;22753;6;;;
Nordeste;CE;;23;;;;2021-07-06;27;9132078;894678;1408;22791;38;;;
Nordeste;RN;;24;;;;2021-07-01;26;3506853;343352;3187;6797;29;;;
Nordeste;RN;;24;;;;2021-07-02;26;3506853;344148;796;6807;10;;;
Nordeste;RN;;24;;;;2021-07-03;26;3506853;344720;572;6818;11;;;
Nordeste;RN;;24;;;;2021-07-04;27;3506853;345130;410;6826;8;;;
Nordeste;RN;;24;;;;2021-07-05;27;3506853;345615;485;6841;15;;;
Nordeste;RN;;24;;;;2021-07-06;27;3506853;347248;1633;6853;12;;;
Nordeste;PB;;25;;;;2021-07-01;26;4018127;396904;462;8628;22;;;
Nordeste;PB;;25;;;;2021-07-02;26;4018127;398440;1536;8654;26;;;
Nordeste;PB;;25;;;;2021-07-03;26;4018127;400011;1571;8670;16;;;
Nordeste;PB;;25;;;;2021-07-04;27;4018127;401259;1248;8685;15;;;
Nordeste;PB;;25;;;;2021-07-05;27;4018127;401700;441;8703;18;;;
Nordeste;PB;;25;;;;2021-07-06;27;4018127;402175;475;8724;21;;;
Nordeste;PE;;26;;;;2021-07-01;26;9557071;552289;1997;17720;35;;;
Nordeste;PE;;26;;;;2021-07-02;26;9557071;554688;2399;17766;46;;;
Nordeste;PE;;26;;;;2021-07-03;26;9557071;557293;2605;17841;75;;;
Nordeste;PE;;26;;;;2021-07-04;27;9557071;558698;1405;17872;31;;;
Nordeste;PE;;26;;;;2021-07-05;27;9557071;559358;660;17908;36;;;
Nordeste;PE;;26;;;;2021-07-06;27;9557071;561505;2147;17953;45;;;
Nordeste;AL;;27;;;;2021-07-01;26;3337357;217230;513;5360;20;;;
Nordeste;AL;;27;;;;2021-07-02;26;3337357;217975;745;5379;19;;;
Nordeste;AL;;27;;;;2021-07-03;26;3337357;218620;645;5399;20;;;
Nordeste;AL;;27;;;;2021-07-04;27;3337357;219741;1121;5416;17;;;
Nordeste;AL;;27;;;;2021-07-05;27;3337357;220022;281;5433;17;;;
Nordeste;AL;;27;;;;2021-07-06;27;3337357;220793;771;5450;17;;;
Nordeste;SE;;28;;;;2021-07-01;26;2298696;264213;701;5714;16;;;
Nordeste;SE;;28;;;;2021-07-02;26;2298696;264798;585;5732;18;;;
Nordeste;SE;;28;;;;2021-07-03;26;2298696;265278;480;5743;11;;;
Nordeste;SE;;28;;;;2021-07-04;27;2298696;265925;647;5756;13;;;
Nordeste;SE;;28;;;;2021-07-05;27;2298696;266273;348;5765;9;;;
Nordeste;SE;;28;;;;2021-07-06;27;2298696;266590;317;5773;8;;;
Nordeste;BA;;29;;;;2021-07-01;26;14873064;1128432;3438;24105;93;;;
Nordeste;BA;;29;;;;2021-07-02;26;14873064;1132050;3618;24187;82;;;
Nordeste;BA;;29;;;;2021-07-03;26;14873064;1135261;3211;24235;48;;;
Nordeste;BA;;29;;;;2021-07-04;27;14873064;1137167;1906;24259;24;;;
Nordeste;BA;;29;;;;2021-07-05;27;14873064;1138377;1210;24312;53;;;
Nordeste;BA;;29;;;;2021-07-06;27;14873064;1141612;3235;24428;116;;;
Sudeste;MG;;31;;;;2021-07-01;26;21168791;1810854;7106;46459;217;;;
Sudeste;MG;;31;;;;2021-07-02;26;21168791;1818433;7579;46654;195;;;
Sudeste;MG;;31;;;;2021-07-03;26;21168791;1823819;5386;46883;229;;;
Sudeste;MG;;31;;;;2021-07-04;27;21168791;1827108;3289;47079;196;;;
Sudeste;MG;;31;;;;2021-07-05;27;21168791;1828904;1796;47120;41;;;
Sudeste;MG;;31;;;;2021-07-06;27;21168791;1836198;7294;47148;28;;;
Sudeste;ES;;32;;;;2021-07-01;26;4018650;518845;972;11500;25;;;
Sudeste;ES;;32;;;;2021-07-02;26;4018650;519739;894;11520;20;;;
Sudeste;ES;;32;;;;2021-07-03;26;4018650;520425;686;11525;5;;;
Sudeste;ES;;32;;;;2021-07-04;27;4018650;521053;628;11534;9;;;
Sudeste;ES;;32;;;;2021-07-05;27;4018650;521830;777;11556;22;;;
Sudeste;ES;;32;;;;2021-07-06;27;4018650;523115;1285;11582;26;;;
Sudeste;RJ;;33;;;;2021-07-01;26;17264943;960495;2296;55703;233;;;
Sudeste;RJ;;33;;;;2021-07-02;26;17264943;963166;2671;55876;173;;;
Sudeste;RJ;;33;;;;2021-07-03;26;17264943;965699;2533;56011;135;;;
Sudeste;RJ;;33;;;;2021-07-04;27;17264943;966114;415;56031;20;;;
Sudeste;RJ;;33;;;;2021-07-05;27;17264943;966888;774;56039;8;;;
Sudeste;RJ;;33;;;;2021-07-06;27;17264943;970268;3380;56192;153;;;
Sudeste;SP;;35;;;;2021-07-01;26;45919049;3743291;15943;128322;641;;;
Sudeste;SP;;35;;;;2021-07-02;26;45919049;3762758;19467;128921;599;;;
Sudeste;SP;;35;;;;2021-07-03;26;45919049;3779408;16650;129453;532;;;
Sudeste;SP;;35;;;;2021-07-04;27;45919049;3785859;6451;129609;156;;;
Sudeste;SP;;35;;;;2021-07-05;27;45919049;3790090;4231;129675;66;;;
Sudeste;SP;;35;;;;2021-07-06;27;45919049;3809222;19132;130389;714;;;
Sul;PR;;41;;;;2021-07-01;26;11433957;1292791;7985;30943;232;;;
Sul;PR;;41;;;;2021-07-02;26;11433957;1296206;3415;31128;185;;;
Sul;PR;;41;;;;2021-07-03;26;11433957;1300485;4279;31325;197;;;
Sul;PR;;41;;;;2021-07-04;27;11433957;1302708;2223;31418;93;;;
Sul;PR;;41;;;;2021-07-05;27;11433957;1305082;2374;31529;111;;;
Sul;PR;;41;;;;2021-07-06;27;11433957;1308643;3561;31692;163;;;
Sul;SC;;42;;;;2021-07-01;26;7164788;1055369;2914;16908;47;;;
Sul;SC;;42;;;;2021-07-02;26;7164788;1058347;2978;16954;46;;;
Sul;SC;;42;;;;2021-07-03;26;7164788;1060992;2645;16987;33;;;
Sul;SC;;42;;;;2021-07-04;27;7164788;1062080;1088;17014;27;;;
Sul;SC;;42;;;;2021-07-05;27;7164788;1063393;1313;17064;50;;;
Sul;SC;;42;;;;2021-07-06;27;7164788;1066484;3091;17146;82;;;
Sul;RS;;43;;;;2021-07-01;26;11377239;1219231;3712;31497;99;;;
Sul;RS;;43;;;;2021-07-02;26;11377239;1224703;5472;31595;98;;;
Sul;RS;;43;;;;2021-07-03;26;11377239;1230115;5412;31686;91;;;
Sul;RS;;43;;;;2021-07-04;27;11377239;1230739;624;31709;23;;;
Sul;RS;;43;;;;2021-07-05;27;11377239;1231166;427;31761;52;;;
Sul;RS;;43;;;;2021-07-06;27;11377239;1235914;4748;31867;106;;;
Centro-Oeste;MS;;50;;;;2021-07-01;26;2778986;336087;676;8231;27;;;
Centro-Oeste;MS;;50;;;;2021-07-02;26;2778986;337003;916;8269;38;;;
Centro-Oeste;MS;;50;;;;2021-07-03;26;2778986;337666;663;8302;33;;;
Centro-Oeste;MS;;50;;;;2021-07-04;27;2778986;338328;662;8331;29;;;
Centro-Oeste;MS;;50;;;;2021-07-05;27;2778986;338645;317;8365;34;;;
Centro-Oeste;MS;;50;;;;2021-07-06;27;2778986;339323;678;8400;35;;;
Centro-Oeste;MT;;51;;;;2021-07-01;26;3484466;451080;1375;11846;29;;;
Centro-Oeste;MT;;51;;;;2021-07-02;26;3484466;452454;1374;11881;35;;;
Centro-Oeste;MT;;51;;;;2021-07-03;26;3484466;453047;593;11912;31;;;
Centro-Oeste;MT;;51;;;;2021-07-04;27;3484466;453256;209;11929;17;;;
Centro-Oeste;MT;;51;;;;2021-07-05;27;3484466;454430;1174;11970;41;;;
Centro-Oeste;MT;;51;;;;2021-07-06;27;3484466;456155;1725;12000;30;;;
Centro-Oeste;GO;;52;;;;2021-07-01;26;7018354;678659;3518;19269;82;;;
Centro-Oeste;GO;;52;;;;2021-07-02;26;7018354;681276;2617;19319;50;;;
Centro-Oeste;GO;;52;;;;2021-07-03;26;7018354;682482;1206;19371;52;;;
Centro-Oeste;GO;;52;;;;2021-07-04;27;7018354;682753;271;19400;29;;;
Centro-Oeste;GO;;52;;;;2021-07-05;27;7018354;683684;931;19409;9;;;
Centro-Oeste;GO;;52;;;;2021-07-06;27;7018354;686433;2749;19485;76;;;
Centro-Oeste;DF;;53;;;;2021-07-01;26;3015268;431151;690;9264;13;;;
Centro-Oeste;DF;;53;;;;2021-07-02;26;3015268;431771;620;9276;12;;;
Centro-Oeste;DF;;53;;;;2021-07-03;26;3015268;432492;721;9289;13;;;
Centro-Oeste;DF;;53;;;;2021-07-04;27;3015268;433505;1013;9304;15;;;
Centro-Oeste;DF;;53;;;;2021-07-05;27;3015268;434114;609;9312;8;;;
Centro-Oeste;DF;;53;;;;2021-07-06;27;3015268;434708;594;9322;10;;;
Norte;RO;;11;110000;;;2021-07-01;26;;0;0;0;0;;;
Norte;RO;;11;110000;;;2021-07-02;26;;0;0;0;0;;;
Norte;RO;;11;110000;;;2021-07-03;26;;0;0;0;0;;;
Norte;RO;;11;110000;;;2021-07-04;27;;0;0;0;0;;;
Norte;RO;;11;110000;;;2021-07-05;27;;0;0;0;0;;;
Norte;RO;;11;110000;;;2021-07-06;27;;0;0;0;0;;;
Norte;RO;Alta Floresta D'Oeste;11;110001;11005;ZONA DA MATA;2021-07-01;26;22945;3897;4;65;0;;;0
Norte;RO;Alta Floresta D'Oeste;11;110001;11005;ZONA DA MATA;2021-07-02;26;22945;3900;3;65;0;;;0
Norte;RO;Alta Floresta D'Oeste;11;110001;11005;ZONA DA MATA;2021-07-03;26;22945;3905;5;65;0;;;0
Norte;RO;Alta Floresta D'Oeste;11;110001;11005;ZONA DA MATA;2021-07-04;27;22945;3905;0;65;0;;;0
Norte;RO;Alta Floresta D'Oeste;11;110001;11005;ZONA DA MATA;2021-07-05;27;22945;3908;3;65;0;;;0
Norte;RO;Alta Floresta D'Oeste;11;110001;11005;ZONA DA MATA;2021-07-06;27;22945;3916;8;65;0;;;0
Norte;RO;Ariquemes;11;110002;11001;VALE DO JAMARI;2021-07-01;26;107863;21684;45;464;1;;;0
Norte;RO;Ariquemes;11;110002;11001;VALE DO JAMARI;2021-07-02;26;107863;21746;62;466;2;;;0
Norte;RO;Ariquemes;11;110002;11001;VALE DO JAMARI;2021-07-03;26;107863;21780;34;466;0;;;0
Norte;RO;Ariquemes;11;110002;11001;VALE DO JAMARI;2021-07-04;27;107863;21795;15;466;0;;;0
Norte;RO;Ariquemes;11;110002;11001;VALE DO JAMARI;2021-07-05;27;107863;21818;23;468;2;;;0
Norte;RO;Ariquemes;11;110002;11001;VALE DO JAMARI;2021-07-06;27;107863;21845;27;468;0;;;0
Norte;RO;Cabixi;11;110003;11006;CONE SUL;2021-07-01;26;5312;825;3;20;0;;;0
Norte;RO;Cabixi;11;110003;11006;CONE SUL;2021-07-02;26;5312;825;0;20;0;;;0
Norte;RO;Cabixi;11;110003;11006;CONE SUL;2021-07-03;26;5312;825;0;20;0;;;0
Norte;RO;Cabixi;11;110003;11006;CONE SUL;2021-07-04;27;5312;825;0;20;0;;;0
Norte;RO;Cabixi;11;110003;11006;CONE SUL;2021-07-05;27;5312;826;1;20;0;;;0
Norte;RO;Cabixi;11;110003;11006;CONE SUL;2021-07-06;27;5312;827;1;20;0;;;0
Norte;RO;Cacoal;11;110004;11002;CAFE;2021-07-01;26;85359;13534;29;279;0;;;0
Norte;RO;Cacoal;11;110004;11002;CAFE;2021-07-02;26;85359;13569;35;283;4;;;0
Norte;RO;Cacoal;11;110004;11002;CAFE;2021-07-03;26;85359;13606;37;283;0;;;0
Norte;RO;Cacoal;11;110004;11002;CAFE;2021-07-04;27;85359;13606;0;283;0;;;0
Norte;RO;Cacoal;11;110004;11002;CAFE;2021-07-05;27;85359;13678;72;283;0;;;0
Norte;RO;Cacoal;11;110004;11002;CAFE;2021-07-06;27;85359;13735;57;285;2;;;0
Norte;RO;Cerejeiras;11;110005;11006;CONE SUL;2021-07-01;26;16323;2428;0;60;0;;;0
Norte;RO;Cerejeiras;11;110005;11006;CONE SUL;2021-07-02;26;16323;2429;1;60;0;;;0
Norte;RO;Cerejeiras;11;110005;11006;CONE SUL;2021-07-03;26;16323;2431;2;60;0;;;0
Norte;RO;Cerejeiras;11;110005;11006;CONE SUL;2021-07-04;27;16323;2431;0;60;0;;;0
Norte;RO;Cerejeiras;11;110005;11006;CONE SUL;2021-07-05;27;16323;2432;1;60;0;;;0
Norte;RO;Cerejeiras;11;110005;11006;CONE SUL;2021-07-06;27;16323;2436;4;61;1;;;0
Norte;RO;Colorado do Oeste;11;110006;11006;CONE SUL;2021-07-01;26;15882;2198;12;39;0;;;0
Norte;RO;Colorado do Oeste;11;110006;11006;CONE SUL;2021-07-02;26;15882;2199;1;39;0;;;0
Norte;RO;Colorado do Oeste;11;110006;11006;CONE SUL;2021-07-03;26;15882;2203;4;39;0;;;0
Norte;RO;Colorado do Oeste;11;110006;11006;CONE SUL;2021-07-04;27;15882;2204;1;39;0;;;0
Norte;RO;Colorado do Oeste;11;110006;11006;CONE SUL;2021-07-05;27;15882;2219;15;39;0;;;0
Norte;RO;Colorado do Oeste;11;110006;11006;CONE SUL;2021-07-06;27;15882;2219;0;39;0;;;0
Norte;RO;Corumbiara;11;110007;11006;CONE SUL;2021-07-01;26;7391;780;3;18;0;;;0
Norte;RO;Corumbiara;11;110007;11006;CONE SUL;2021-07-02;26;7391;780;0;18;0;;;0
Norte;RO;Corumbiara;11;110007;11006;CONE SUL;2021-07-03;26;7391;786;6;18;0;;;0
Norte;RO;Corumbiara;11;110007;11006;CONE SUL;2021-07-04;27;7391;785;-1;18;0;;;0
Norte;RO;Corumbiara;11;110007;11006;CONE SUL;2021-07-05;27;7391;785;0;18;0;;;0
Norte;RO;Corumbiara;11;110007;11006;CONE SUL;2021-07-06;27;7391;787;2;18;0;;;0
Norte;RO;Costa Marques;11;110008;11007;VALE DO GUAPORE;2021-07-01;26;18331;1659;2;33;0;;;0
Norte;RO;Costa Marques;11;110008;11007;VALE DO GUAPORE;2021-07-02;26;18331;1680;21;33;0;;;0
Norte;RO;Costa Marques;11;110008;11007;VALE DO GUAPORE;2021-07-03;26;18331;1686;6;33;0;;;0
Norte;RO;Costa Marques;11;110008;11007;VALE DO GUAPORE;2021-07-04;27;18331;1686;0;33;0;;;0
Norte;RO;Costa Marques;11;110008;11007;VALE DO GUAPORE;2021-07-05;27;18331;1720;34;33;0;;;0
Norte;RO;Costa Marques;11;110008;11007;VALE DO GUAPORE;2021-07-06;27;18331;1744;24;33;0;;;0
Norte;RO;Espigão D'Oeste;11;110009;11002;CAFE;2021-07-01;26;32374;3250;8;64;1;;;0
Norte;RO;Espigão D'Oeste;11;110009;11002;CAFE;2021-07-02;26;32374;3250;0;64;0;;;0
Norte;RO;Espigão D'Oeste;11;110009;11002;CAFE;2021-07-03;26;32374;3271;21;64;0;;;0
Norte;RO;Espigão D'Oeste;11;110009;11002;CAFE;2021-07-04;27;32374;3271;0;64;0;;;0
Norte;RO;Espigão D'Oeste;11;110009;11002;CAFE;2021-07-05;27;32374;3292;21;64;0;;;0
Norte;RO;Espigão D'Oeste;11;110009;11002;CAFE;2021-07-06;27;32374;3318;26;64;0;;;0
Norte;RO;Guajará-Mirim;11;110010;11004;MADEIRA-MAMORE;2021-07-01;26;46174;5377;1;224;0;;;0
Norte;RO;Guajará-Mirim;11;110010;11004;MADEIRA-MAMORE;2021-07-02;26;46174;5378;1;223;-1;;;0
Norte;RO;Guajará-Mirim;11;110010;11004;MADEIRA-MAMORE;2021-07-03;26;46174;5379;1;223;0;;;0
Norte;RO;Guajará-Mirim;11;110010;11004;MADEIRA-MAMORE;2021-07-04;27;46174;5379;0;223;0;;;0
Norte;RO;Guajará-Mirim;11;110010;11004;MADEIRA-MAMORE;2021-07-05;27;46174;5379;0;223;0;;;0
Norte;RO;Guajará-Mirim;11;110010;11004;MADEIRA-MAMORE;2021-07-06;27;46174;5382;3;223;0;;;0
Norte;RO;Jaru;11;110011;11003;CENTRAL;2021-07-01;26;51775;7415;30;162;0;;;0
Norte;RO;Jaru;11;110011;11003;CENTRAL;2021-07-02;26;51775;7424;9;165;3;;;0
Norte;RO;Jaru;11;110011;11003;CENTRAL;2021-07-03;26;51775;7438;14;167;2;;;0
Norte;RO;Jaru;11;110011;11003;CENTRAL;2021-07-04;27;51775;7445;7;167;0;;;0
Norte;RO;Jaru;11;110011;11003;CENTRAL;2021-07-05;27;51775;7455;10;167;0;;;0
Norte;RO;Jaru;11;110011;11003;CENTRAL;2021-07-06;27;51775;7473;18;170;3;;;0
Norte;RO;Ji-Paraná;11;110012;11003;CENTRAL;2021-07-01;26;128969;18336;131;548;6;;;0
Norte;RO;Ji-Paraná;11;110012;11003;CENTRAL;2021-07-02;26;128969;18355;19;551;3;;;0
Norte;RO;Ji-Paraná;11;110012;11003;CENTRAL;2021-07-03;26;128969;18441;86;551;0;;;0
Norte;RO;Ji-Paraná;11;110012;11003;CENTRAL;2021-07-04;27;128969;18441;0;551;0;;;0
Norte;RO;Ji-Paraná;11;110012;11003;CENTRAL;2021-07-05;27;128969;20399;1958;551;0;;;0
Norte;RO;Ji-Paraná;11;110012;11003;CENTRAL;2021-07-06;27;128969;19944;-455;551;0;;;0
Norte;RO;Machadinho D'Oeste;11;110013;11001;VALE DO JAMARI;2021-07-01;26;39991;6580;0;107;0;;;0
Norte;RO;Machadinho D'Oeste;11;110013;11001;VALE DO JAMARI;2021-07-02;26;39991;6607;27;107;0;;;0
Norte;RO;Machadinho D'Oeste;11;110013;11001;VALE DO JAMARI;2021-07-03;26;39991;6627;20;108;1;;;0
Norte;RO;Machadinho D'Oeste;11;110013;11001;VALE DO JAMARI;2021-07-04;27;39991;6627;0;108;0;;;0
Norte;RO;Machadinho D'Oeste;11;110013;11001;VALE DO JAMARI;2021-07-05;27;39991;6652;25;110;2;;;0
Norte;RO;Machadinho D'Oeste;11;110013;11001;VALE DO JAMARI;2021-07-06;27;39991;6674;22;110;0;;;0
Norte;RO;Nova Brasilândia D'Oeste;11;110014;11005;ZONA DA MATA;2021-07-01;26;20474;1879;12;27;0;;;0
Norte;RO;Nova Brasilândia D'Oeste;11;110014;11005;ZONA DA MATA;2021-07-02;26;20474;1896;17;27;0;;;0
Norte;RO;Nova Brasilândia D'Oeste;11;110014;11005;ZONA DA MATA;2021-07-03;26;20474;1904;8;27;0;;;0
Norte;RO;Nova Brasilândia D'Oeste;11;110014;11005;ZONA DA MATA;2021-07-04;27;20474;1904;0;27;0;;;0
Norte;RO;Nova Brasilândia D'Oeste;11;110014;11005;ZONA DA MATA;2021-07-05;27;20474;1908;4;27;0;;;0
Norte;RO;Nova Brasilândia D'Oeste;11;110014;11005;ZONA DA MATA;2021-07-06;27;20474;1916;8;29;2;;;0
Norte;RO;Ouro Preto do Oeste;11;110015;11003;CENTRAL;2021-07-01;26;36035;4498;4;136;0;;;0
Norte;RO;Ouro Preto do Oeste;11;110015;11003;CENTRAL;2021-07-02;26;36035;4501;3;137;1;;;0
Norte;RO;Ouro Preto do Oeste;11;110015;11003;CENTRAL;2021-07-03;26;36035;4501;0;137;0;;;0
Norte;RO;Ouro Preto do Oeste;11;110015;11003;CENTRAL;2021-07-04;27;36035;4501;0;137;0;;;0
Norte;RO;Ouro Preto do Oeste;11;110015;11003;CENTRAL;2021-07-05;27;36035;4512;11;137;0;;;0
Norte;RO;Ouro Preto do Oeste;11;110015;11003;CENTRAL;2021-07-06;27;36035;4526;14;137;0;;;0
Norte;RO;Pimenta Bueno;11;110018;11002;CAFE;2021-07-01;26;36660;6155;27;104;0;;;0
Norte;RO;Pimenta Bueno;11;110018;11002;CAFE;2021-07-02;26;36660;6176;21;106;2;;;0
Norte;RO;Pimenta Bueno;11;110018;11002;CAFE;2021-07-03;26;36660;6191;15;105;-1;;;0
Norte;RO;Pimenta Bueno;11;110018;11002;CAFE;2021-07-04;27;36660;6191;0;105;0;;;0
Norte;RO;Pimenta Bueno;11;110018;11002;CAFE;2021-07-05;27;36660;6211;20;108;3;;;0
Norte;RO;Pimenta Bueno;11;110018;11002;CAFE;2021-07-06;27;36660;6238;27;109;1;;;0
Norte;RO;Porto Velho;11;110020;11004;MADEIRA-MAMORE;2021-07-01;26;529544;82740;33;2431;0;;;1
Norte;RO;Porto Velho;11;110020;11004;MADEIRA-MAMORE;2021-07-02;26;529544;82697;-43;2435;4;;;1
Norte;RO;Porto Velho;11;110020;11004;MADEIRA-MAMORE;2021-07-03;26;529544;83351;654;2435;0;;;1
Norte;RO;Porto Velho;11;110020;11004;MADEIRA-MAMORE;2021-07-04;27;529544;83368;17;2435;0;;;1
Norte;RO;Porto Velho;11;110020;11004;MADEIRA-MAMORE;2021-07-05;27;529544;83476;108;2465;30;;;1
Norte;RO;Porto Velho;11;110020;11004;MADEIRA-MAMORE;2021-07-06;27;529544;83513;37;2466;1;;;1
Norte;RO;Presidente Médici;11;110025;11003;CENTRAL;2021-07-01;26;18986;3456;6;80;1;;;0
Norte;RO;Presidente Médici;11;110025;11003;CENTRAL;2021-07-02;26;18986;3482;26;80;0;;;0
Norte;RO;Presidente Médici;11;110025;11003;CENTRAL;2021-07-03;26;18986;3489;7;80;0;;;0
Norte;RO;Presidente Médici;11;110025;11003;CENTRAL;2021-07-04;27;18986;3489;0;80;0;;;0
Norte;RO;Presidente Médici;11;110025;11003;CENTRAL;2021-07-05;27;18986;3492;3;81;1;;;0
Norte;RO;Presidente Médici;11;110025;11003;CENTRAL;2021-07-06;27;18986;3495;3;81;0;;;0
Norte;RO;Rio Crespo;11;110026;11001;VALE DO JAMARI;2021-07-01;26;3764;582;0;12;0;;;0
Norte;RO;Rio Crespo;11;110026;11001;VALE DO JAMARI;2021-07-02;26;3764;586;4;12;0;;;0
Norte;RO;Rio Crespo;11;110026;11001;VALE DO JAMARI;2021-07-03;26;3764;587;1;12;0;;;0
Norte;RO;Rio Crespo;11;110026;11001;VALE DO JAMARI;2021-07-04;27;3764;587;0;12;0;;;0
Norte;RO;Rio Crespo;11;110026;11001;VALE DO JAMARI;2021-07-05;27;3764;587;0;12;0;;;0
Norte;RO;Rio Crespo;11;110026;11001;VALE DO JAMARI;2021-07-06;27;3764;587;0;12;0;;;0
