id_curso,id_unidade,codigo,nome,nivel,id_modalidade_educacao,id_municipio,id_tipo_oferta_curso,id_area_curso,id_grau_academico,id_eixo_conhecimento,ativo
5700,189,ALTSINFO,"TÉCNICO EM INFORMÁTICA - AL",T,1,8550,,10000003,,,1
5041,189,ALTIAGRP,"TÉCNICO EM AGROPECUÁRIA INTEGRADO - AL",M,1,8550,,,,,1
2399116,309,SATIADMN,"TÉCNICO EM ADMINISTRAÇÃO - SA",N,1,9267,,,,,1
73,150,SVTIAGRO,"TÉCNICO EM AGROPECUÁRIA - SV",T,1,,,,,,
910,229,SBTPCOZN,"TÉCNICO EM COZINHA - SB",T,1,,,,,,
67,150,SVTSSESC-EAD,"TÉCNICO EM SECRETARIA ESCOLAR - EAD - SV",T,2,,,,,,
30,150,SVTSSECR,"TÉCNICO EM SECRETARIADO - SV",T,1,,,,,,
47,189,ALTSINFO,"TÉCNICO EM INFORMÁTICA-AL",T,1,,,,,,
29,229,SBTSHOSP10,"Técnico em Hospedagem",T,1,,,,,,
53,605,**,"- SA",M,1,,,,,,
231,349,PBTSAGRP,"TÉCNICO EM AGRICULTURA DE PRECISÃO - PB",T,1,9091,,,,,1
39,229,SBTSINFOEAD,"TÉCNICO EM INFORMÁTICA PARA INTERNET - SB",T,2,9273,,,,,1
228,349,PBTSSECREAD,"TÉCNICO EM SECRETARIADO EAD- PB",T,2,9091,,90000005,,,1
2399358,692,"FWTIINFO - 11001","TÉCNICO EM INFORMÁTICA - FW",N,1,8883,,10000003,,,1
3590189,388,JATIAGRI,"TÉCNICO EM AGRICULTURA INTEGRADO",N,1,8960,,90000005,,6264215,1
63565,354,,"LICENCIATURA EM QUÍMICA",G,1,9091,3,10000003,8067070,,1
32,229,SBTSEVNT,"TÉCNICO EM EVENTOS -SB",T,1,9273,,,,6264217,1
31,229,SBTSCOZN,"TÉCNICO EM COZINHA - SB",T,1,9273,,,,6264217,1
229,349,PBTSAGRO,"TÉCNICO EM AGROINDÚSTRIA - PB",T,1,,,,,,
46,269,SRTSMAMBEAD,"TÉCNICO EM MEIO AMBIENTE EAD - SR",T,2,9244,,,,,1
42,269,SRTSAGRO,"TÉCNICO EM AGROINDÚSTRIA - SR",T,1,9244,,,,,1
45,269,SRTSVENDEAD,"TÉCNICO EM VENDAS EAD - SR",T,2,9244,,,,,1
225,349,PBTSPCGR,"TÉCNICO EM PÓS-COLHEITA DE GRÃOS - PB",T,1,,,,,,
226,349,PBTSALIM,"TÉCNICO EM ALIMENTOS - PB",T,1,,,,,,
390,189,ALTIINFO,"TÉCNICO EM INFORMÁTICA",T,1,,,,,,
2070,269,SRTIVENDP,"TÉCNICO EM VENDAS/PROEJA - SR",M,1,9244,,,,171158,1
1913420,269,SRTSADMEAD,"TÉCNICO EM ADMINISTRAÇÃO EAD - SR",T,2,9244,,60000007,,171158,1
3926604,355,,"CURSO SUPERIOR DE TECNOLOGIA EM PROCESSOS QUÍMICOS",G,1,9091,3,90000005,4,,1
2399355,428,JCTIAGRP,"TÉCNICO EM AGROPECUÁRIA",N,1,8971,,50000004,,6264215,1
475930,468,SANTIAGR,"TÉCNICO EM AGRICULTURA - SAN",M,1,9257,,,,6264215,1
2399326,309,SATIAGRP,"TÉCNICO EM AGROPECUÁRIA - SA",N,1,9267,,,,,1
2665614,402,,"MESTRADO PROFISSIONAL EM EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA",E,3,8960,4,90000005,,,1
2362376,283,,"ESPECIALIZAÇÃO EM GESTÃO DA QUALIDADE E NOVAS TENDÊNCIAS EM ALIMENTOS",L,1,,,50700006,,,1
37,150,SVTSZOOT,"TÉCNICO EM ZOOTECNIA - SV",T,1,,,,,,
92,309,SATSINFO,"TÉCNICO EM INFORMÁTICA",T,2,9267,,,,,1
28,229,SBTSHOSP,"TÉCNICO EM HOSPEDAGEM - SB",T,1,9273,,,,,1
22685,692,"FWTIINFO - 11001","TÉCNICO EM INFORMÁTICA - FW",M,1,8883,,,,,1
5738,468,SANTIMSI,"TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA - SAN",M,1,9257,,,,-1,1
3593118,388,JACRSANSADM,"TÉCNICO EM ADMINISTRAÇÃO - CENTRO DE REFERÊNCIA EM SANTIAGO",T,1,8960,,90000005,,171158,1
31021,696,UGTSINFO,"TÉCNICO EM INFORMÁTICA",T,1,9431,,90000005,,-1,1
2399356,428,JCTIINFO,"TÉCNICO EM INFORMÁTICA",N,1,8971,,90000005,,-1,1
1435399,243,,"ESPECIALIZAÇÃO EM INFORMÁTICA APLICADA NA EDUCAÇÃO",L,1,,,99900009,,,1
1057,349,PBTPALIM,"TÉCNICO EM ALIMENTOS PROEJA-PB",T,1,,,,,,
7479,229,SBTPHOSP,"TÉCNICO EM HOSPEDAGEM - SB",M,1,9273,,,,,1
4505,349,PBTSPCGR,"TÉCNICO EM PÓS COLHEITA DE GRÃOS-PB",T,1,,,,,,
6291,605,SBTPCOZNNOT,"TÉCNICO EM COZINHA",M,1,,,,,,
6286,605,SBTIEVNTNOT,"TÉCNICO EM EVENTOS - SB",M,1,,,,,,
6495,229,SBTSCOZH,"TÉCNICO EM COZINHA SUBSEQUENTE",T,1,,,,,,
6295,605,SBTPHOSPNOT,"TÉCNICO EM HOSPEDAGEM MODALIDADE PROEJA",M,1,,,,,,
6373,605,SBTIINFONOT,"TÉCNICO EM INFORMÁTICA INTEGRADO AO ENSINO MÉDIO",M,1,,,,,,
6097,468,SANTSEST,"TÉCNICO EM ESTÉTICA - SAN",T,1,9257,,90000005,,171155,1
3925233,474,,"SUPERIOR DE BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO",G,1,8883,3,10000003,1,,1
5244,189,ALTPINFO,"TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA - PROEJA - AL",M,1,8550,,,,,1
4889,388,JATSMULTEAD,"TÉCNICO EM MULTIMEIOS DIDÁTICOS - EAD - JA",T,2,8960,,,,,1
5861,468,SANTSENF,"TÉCNICO EM ENFERMAGEM - SAN",T,1,9257,,90000005,,171155,1
1501051,323,,"ESPECIALIZAÇÃO EM INFORMÁTICA APLICADA NA EDUCAÇÃO",L,1,,,99900009,,,1
6747,428,JCTSREDEEAD,"TÉCNICO EM REDES DE COMPUTADORES - EAD - JC",T,2,8971,,90000005,,,1
3669,150,SVTIMSIN,"TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA INTEGRADO",M,1,9332,,,,-1,1
5143,189,ALTIINFO,"TÉCNICO EM INFORMÁTICA INTEGRADO - AL",M,1,8550,,,,,1
2399327,309,SATIINFO,"TÉCNICO EM INFORMÁTICA - SA",N,1,9267,,,,,1
4759,388,JATSALIMEAD,"TÉCNICO EM ALIMENTAÇÃO ESCOLAR - EAD - JA",T,2,8960,,,,,1
4282,388,JATPAGRO,"TÉCNICO EM AGROINDÚSTIA - PROEJA INTEGRADO - JA",M,1,8960,,,,,1
3908,309,SATPAGRO,"TÉCNICO EM AGROINDÚSTRIA - SA",M,1,9267,,,,,1
3976,388,JATIAGRO,"TÉCNICO EM AGROINDÚSTIA - JA",M,1,8960,,,,,1
1108,309,SATIADMN,"TÉCNICO EM ADMINISTRAÇÃO - SA",M,1,9267,,,,,1
2399359,692,"FWTIAGRO - 11002","TÉCNICO EM AGROPECUÁRIA - FW",N,1,8883,,50000004,,6264215,1
2399328,309,SATIALIM,"TÉCNICO EM ALIMENTOS - SA",N,1,9267,,,,6264212,1
2399329,349,PBTIQUIM,"TÉCNICO EM QUÍMICA INTEGRADO AO ENSINO MÉDIO-PB",N,1,9091,,90000005,,6264214,1
3149,150,SVTSSECR,"TÉCNICO EM SECRETARIADO - SVS",T,1,9332,,,,,1
177608,194,,"LICENCIATURA EM MATEMÁTICA",G,1,8550,3,10000003,,,1
1846,269,SRTIMOVI,"TÉCNICO EM MÓVEIS - SR",M,1,9244,,,,6264214,1
2399360,189,ALTIAGRE,"TÉCNICO EM AGROECOLOGIA INTEGRADO - AL",N,1,8550,,,,,1
2399425,468,SANTIEST,"TÉCNICO EM ESTÉTICA PROEJA - SAN",N,1,9257,,,,171155,1
2627321,388,JACRSANTSSER,"TÉCNICO EM SISTEMAS DE ENERGIA RENOVÁVEL-CENTRO DE REFERÊNCIA SANTIAGO",T,1,8960,,90000005,,171156,1
181096,434,,"CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO DO AGRONEGÓCIO",G,1,8971,3,50000004,4,,1
7478,229,SBTPCOZN,"TÉCNICO EM COZINHA - SB",M,1,9273,,,,,1
2399362,388,JATISER,"CURSO TÉCNICO EM SISTEMAS DE ENERGIA RENOVÁVEL INTEGRADO AO ENSINO MÉDIO",N,1,8960,,30000009,,171156,1
1211,309,SATIINFO,"TÉCNICO EM INFORMÁTICA - SA",M,1,9267,,,,,1
1117,309,SATIAGRP,"TÉCNICO EM AGROPECUÁRIA - SA",M,1,9267,,,,,1
93490,189,ALTIAGRE,"TÉCNICO EM AGROECOLOGIA INTEGRADO - AL",M,1,8550,,,,,1
1212,309,SATIALIM,"TÉCNICO EM ALIMENTOS - SA",M,1,9267,,,,6264212,1
62602,275,,"BACHARELADO EM ARQUITETURA E URBANISMO",G,1,9244,3,30000009,1,,1
181098,434,,"BACHARELADO EM SISTEMAS DE INFORMAÇÃO",G,1,8971,3,90000005,1,,1
94566,229,SBTSINFOEaD,"TÉCNICO EM INFORMÁTICA PARA INTERNET - SB",T,2,9273,,,,,1
62603,274,,"LICENCIATURA EM CIÊNCIAS BIOLÓGICAS",G,1,9244,3,20000006,8067070,,1
2057,468,SANTSINFO,"TÉCNICO EM INFORMÁTICA PARA INTERNET - SAN",T,1,9257,,90000005,,-1,1
2347,269,SRTSELET,"TÉCNICO EM ELETROMECÂNICA - SR",T,1,9244,,30000009,,171156,1
36,269,SRTSMAMB,"TÉCNICO EM MEIO AMBIENTE - SR",T,1,9244,,20000006,,171155,1
238181,194,,"LICENCIATURA EM QUÍMICA",G,1,8550,3,10000003,8067070,,1
7480,229,SBTIINFO,"TÉCNICO EM INFORMÁTICA - SB",M,1,9273,,,,,1
3763,150,SVTPAGRO,"TÉCNICO EM AGROINDÚSTRIA INTEGRADO",M,1,9332,,,,6264212,1
2399595,468,SANTIAGR,"TÉCNICO EM AGRICULTURA - SAN",N,1,9257,,,,6264215,1
583248,388,JATSSER,"CURSO TÉCNICO EM SISTEMAS DE ENERGIA RENOVÁVEL",T,1,8960,,90000005,,171156,1
181099,433,,"LICENCIATURA EM CIÊNCIAS BIOLÓGICAS",G,1,8971,3,10000003,8067070,,1
181097,434,,"BACHARELADO EM ADMINISTRAÇÃO",G,1,8971,3,90000005,1,,1
61750,195,,"TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - AL",G,1,8550,3,90000005,4,,1
2399330,269,SRTIEDIF,"TÉCNICO EM EDIFICAÇÕES - SR",N,1,9244,,,,6264210,1
40,269,SRTSMOVS,"TÉCNICO EM MÓVEIS - SR",T,1,9244,,30000009,,6264214,1
3402,150,SVTIAGRO,"TÉCNICO EM AGROPECUÁRIA INTEGRADO",M,1,9332,,,,6264215,1
2399331,269,SRTIMOVI,"TÉCNICO EM MÓVEIS - SR",N,1,9244,,,,6264214,1
2399332,269,SRTIVENDP,"TÉCNICO EM VENDAS/PROEJA - SR",N,1,9244,,,,171158,1
6299,229,SBTSGTREAD,"TÉCNICO EM GUIA DE TURISMO - SB",T,2,9273,,,,,1
78384,155,,"LICENCIATURA EM QUÍMICA",G,1,9332,3,90000005,8067070,,1
67444,156,,"BACHARELADO EM ADMINISTRAÇÃO",G,1,9332,3,60000007,1,,1
62474,275,,"BACHARELADO EM ADMINISTRAÇÃO",G,1,9244,3,60000007,1,,1
7476,229,SBTIEVNT,"TÉCNICO EM EVENTOS - SB",M,1,9273,,,,,1
2630136,696,URTIINFO,"CURSO TÉCNICO DE NÍVEL MÉDIO EM INFORMÁTICA",N,1,9431,,10000003,,-1,1
4033236,696,UGTMSI,"TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA",T,1,9431,,90000005,,-1,1
4029752,696,UGTECMARK,"TÉCNICO EM MARKETING SUBSEQUENTE",T,1,9431,,90000005,,171158,1
2794,150,SVTSAGRI,"TÉCNICO EM AGRICULTURA",T,1,9332,,90000005,,6264215,1
6218,468,SANTIEST,"TÉCNICO EM ESTÉTICA PROEJA - SAN",M,1,9257,,,,171155,1
1304109,195,,"BACHARELADO EM ENGENHARIA AGRÍCOLA",G,1,8550,3,30000009,1,,1
69341,355,,"CURSO SUPERIOR DE TECNOLOGIA EM SISTEMAS PARA INTERNET",G,1,9091,4,10000003,4,,1
1944656,283,,"ESPECIALIZAÇÃO EM GESTÃO E NEGÓCIOS",L,1,,,60200006,,,1
1845,269,SRTIEDIF,"TÉCNICO EM EDIFICAÇÕES - SR",M,1,9244,,,,6264210,1
43,269,SRTSVEND,"TÉCNICO EM VENDAS - SR",T,1,9244,,60000007,,171158,1
69246,234,,"LICENCIATURA EM MATEMÁTICA-SB",G,1,9273,3,10000003,8067070,,1
2628769,696,URTIADM,"CURSO TÉCNICO DE NÍVEL MÉDIO EM ADMINISTRAÇÃO",N,1,9431,,60000007,,171158,1
2361356,402,,"ESPECIALIZAÇÃO EM EDUCAÇÃO DO CAMPO E AGROECOLOGIA (TURMA 2018)",L,1,,,99900009,,,1
3065,150,SVTSALIM,"TÉCNICO EM ALIMENTOS",T,1,9332,,90000005,,6264212,1
76995,194,,"LICENCIATURA EM CIÊNCIAS BIOLÓGIAS",G,1,8550,4,20000006,8067070,,1
2399334,150,SVTIADMI,"TÉCNICO EM ADMINISTRAÇÃO INTEGRADO",N,1,9332,,,,171158,1
2399335,150,SVTIAGRO,"TÉCNICO EM AGROPECUÁRIA INTEGRADO",N,1,9332,,,,6264215,1
4508,349,PBTPEDIF,"TÉCNICO EM EDIFICAÇÕES PROEJA-PB",M,1,9091,,,,6264210,1
66658,235,,"BACHARELADO EM SISTEMAS DE INFORMAÇÃO",G,1,9273,3,10000003,1,,1
2349,269,SRTSALIM,"TÉCNICO EM ALIMENTOS - SR",T,1,9244,,20000006,,6264212,1
3848,150,SVTSINFO,"TÉCNICO EM INFORMÁTICA",T,1,9332,,90000005,,-1,1
2399333,349,PBTIMINFO,"TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA-PB",N,1,9091,,90000005,,-1,1
266343,195,,"BACHARELADO EM ZOOTECNIA",G,1,8550,3,50000004,1,,1
283646,195,,"TECNOLOGIA EM PRODUÇÃO DE GRÃOS",G,1,8550,3,50000004,4,,1
2399341,349,PBTPEDIF,"TÉCNICO EM EDIFICAÇÕES PROEJA-PB",N,1,9091,,90000005,,6264210,1
1354173,712,,"CURSO SUPERIOR DE LICENCIATURA EM COMPUTAÇÃO",G,1,9257,3,90000005,8067070,,1
2399336,150,SVTIMSIN,"TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA INTEGRADO",N,1,9332,,,,-1,1
2399337,150,SVTPAGRO,"TÉCNICO EM AGROINDÚSTRIA INTEGRADO",N,1,9332,,,,6264212,1
2399338,309,SATPAGRO,"TÉCNICO EM AGROINDÚSTRIA - SA",N,1,9267,,,,,1
2399339,388,JATIAGRO,"TÉCNICO EM AGROINDÚSTIA - JA",N,1,8960,,,,,1
2399340,388,JATPAGRO,"TÉCNICO EM AGROINDÚSTIA - PROEJA INTEGRADO - JA",N,1,8960,,,,,1
2080,349,PBTIMINFO,"TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA-PB",M,1,9091,,,,-1,1
1222,349,PBTIQUIM,"TÉCNICO EM QUÍMICA INTEGRADO AO ENSINO MÉDIO-PB",M,1,9091,,,,6264214,1
77498,155,,"LICENCIATURA EM CIÊNCIAS BIOLÓGICAS",G,1,9332,3,20000006,8067070,,1
3174,150,SVTSZOOT,"TÉCNICO EM ZOOTECNIA",T,1,9332,,90000005,,6264215,1
2399342,189,ALTIAGRP,"TÉCNICO EM AGROPECUÁRIA INTEGRADO - AL",N,1,8550,,,,,1
2399343,189,ALTIINFO,"TÉCNICO EM INFORMÁTICA INTEGRADO - AL",N,1,8550,,,,,1
2399344,189,ALTPINFO,"TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA - PROEJA - AL",N,1,8550,,,,,1
2399345,189,ALTPAGRO,"TÉCNICO EM AGROINDÚSTRIA - PROEJA - AL",N,1,8550,,,,,1
2399346,468,SANTIMSI,"TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA - SAN",N,1,9257,,,,-1,1
2399347,605,SBTIEVNTNOT,"TÉCNICO EM EVENTOS - SB",N,1,,,,,,
298256,393,,"LICENCIATURA EM EDUCAÇÃO DO CAMPO - CIÊNCIAS DA NATUREZA",G,1,8960,3,20000006,8067070,,1
2362486,309,SATSINFOEAD,"TÉCNICO EM INFORMÁTICA EAD - SA",T,2,9267,,90000005,,-1,1
2399348,605,SBTPCOZNNOT,"TÉCNICO EM COZINHA",N,1,,,,,,
2399349,605,SBTPHOSPNOT,"TÉCNICO EM HOSPEDAGEM MODALIDADE PROEJA",N,1,,,,,,
2399350,605,SBTIINFONOT,"TÉCNICO EM INFORMÁTICA INTEGRADO AO ENSINO MÉDIO",N,1,,,,,,
2399351,229,SBTIEVNT,"TÉCNICO EM EVENTOS - SB",N,1,9273,,,,,1
2399353,229,SBTPHOSP,"TÉCNICO EM HOSPEDAGEM - SB",N,1,9273,,,,,1
2399354,229,SBTIINFO,"TÉCNICO EM INFORMÁTICA - SB",N,1,9273,,,,,1
3449550,605,,"CURSO DE FORMAÇÃO PEDAGÓGICA DE PROFESSORES PARA EDUCAÇÃO PROFISSIONAL - EAD",G,2,9240,3,70000000,2,,1
2399352,229,SBTPCOZN,"TÉCNICO EM COZINHA - SB",N,1,9273,,60000007,,,1
65489,474,,"SUPERIOR DE TECNOLOGIA EM SISTEMAS PARA INTERNET",G,1,8883,3,10000003,4,,1
76320,156,,"TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",G,1,9332,3,90000005,4,,1
224,349,PBTSCTAM,"TÉCNICO EM CONTROLE AMBIENTAL - PB",T,1,9091,,90000005,,171155,1
77478,393,,"LICENCIATURA EM EDUCAÇÃO DO CAMPO - CIÊNCIAS AGRÁRIAS",G,1,8960,3,50000004,8067070,,1
227,349,PBTSEDIF,"TÉCNICO EM EDIFICAÇÕES - PB",T,1,9091,,90000005,,6264210,1
2353092,712,,"CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO DO AGRONEGÓCIO",G,1,9257,3,50000004,4,,1
283043,195,,"TECNOLOGIA EM AGROINDÚSTRIA",G,1,8550,3,90000005,4,,1
80461,235,,"TECNOLOGIA EM GESTÃO DE TURISMO",G,1,9273,3,90000005,4,,1
4549,349,PBTSPCGR,"TÉCNICO EM PÓS COLHEITA DE GRÃOS-PB",T,1,9091,,90000005,,6264215,1
485725,349,PBTSPCOL,"TÉCNICO EM PÓS-COLHEITA-PB",T,1,9091,,90000005,,6264215,1
2245174,474,,"SUPERIOR DE BACHARELADO EM MEDICINA VETERINÁRIA",G,1,8883,3,50000004,1,,1
711896,235,,"TECNOLOGIA EM GASTRONOMIA",G,1,9273,3,90000005,4,,1
182354,234,,"LICENCIATURA EM FÍSICA-SB",G,1,9273,3,10000003,8067070,,1
35,428,JCTSALIM,"CURSO TÉCNICO EM ALIMENTOS",T,1,8971,,90000005,,,1
2372100,315,,"SUPERIOR DE BACHARELADO EM ADMINISTRAÇÃO",G,1,9267,3,90000005,1,,1
1564211,442,,"ESPECIALIZAÇÃO EM GESTÃO ESCOLAR",L,1,,,70800006,,,1
69827,156,,"BACHARELADO EM AGRONOMIA",G,1,9332,3,50000004,1,,1
761331,433,,"LICENCIATURA EM MATEMÁTICA",G,1,8971,3,10000003,8067070,,1
2386129,315,,"SUPERIOR DE BACHARELADO EM AGRONOMIA",G,1,9267,3,50000004,1,,1
672897,474,,"SUPERIOR DE BACHARELADO EM ADMINISTRAÇÃO",G,1,8883,3,60000007,1,,1
62798,315,,"SUPERIOR DE TECNOLOGIA EM AGRONEGÓCIO",G,1,9267,3,50000004,4,,1
712452,314,,"LICENCIATURA EM CIÊNCIAS BIOLÓGICAS",G,1,9267,3,20000006,8067070,,1
2591836,315,,"SUPERIOR DE TECNOLOGIA EM GESTÃO DO AGRONEGÓCIO",G,1,9267,3,50000004,4,,1
638894,355,,"SUPERIOR DE TECNOLOGIA EM PRODUÇÃO DE GRÃOS",G,1,9091,4,50000004,4,,1
27,428,JCTSAGRP,"CURSO TÉCNICO EM AGROPECUÁRIA",T,1,8971,,50000004,,,1
62799,315,,"SUPERIOR DE TECNOLOGIA EM ALIMENTOS",G,1,9267,3,90000005,4,,1
2056,468,SANTSGS,"TÉCNICO EM GERÊNCIA DE SAÚDE - SAN",T,1,9257,,90000005,,171155,1
66474,712,,"CURSO SUPERIOR DE TECNOLOGIA EM SISTEMAS PARA INTERNET",G,1,9257,3,10000003,4,,1
79131,156,,"TECNOLOGIA EM GESTÃO PÚBLICA",G,1,9332,3,90000005,4,,1
2362295,203,,"ESPECIALIZAÇÃO EM GESTÃO ESCOLAR",L,1,,,70800006,,,1
3668898,468,SANTIADM,"TÉCNICO EM ADMINISTRAÇÃO - SAN",N,1,9257,,70000000,,171158,1
3672752,283,,"ESPECIALIZAÇÃO EM GESTÃO E NEGÓCIOS (TURMA 2019)",L,1,,,60200006,,,1
3673503,402,,"ESPECIALIZAÇÃO EM EDUCAÇÃO DO CAMPO E AGROECOLOGIA (TURMA 2019)",L,1,,,99900009,,,1
3331891,362,,"ESPECIALIZAÇÃO EM BIODIVERSIDADE E CONSERVAÇÃO",L,1,,,20100000,,,1
1438085,362,,"ESPECIALIZAÇÃO EM GESTÃO DE TECNOLOGIA DA INFORMAÇÃO",L,1,,,10300007,,,1
3673485,203,,"TECNOLOGIAS APLICADAS À PRODUÇÃO DE CULTURAS DE LAVOURA",L,3,,,50100009,,,1
3675299,442,,"ESPECIALIZAÇÃO EM GESTÃO ESCOLAR (TURMA 2019)",L,3,,,70800006,,,1
3676346,150,SVTIALIM,"TÉCNICO EM ALIMENTOS",N,1,9332,,90000005,,6264212,1
1444206,402,,"ESPECIALIZAÇÃO EM EDUCAÇÃO DO CAMPO E AGROECOLOGIA (TURMA 2016)",L,1,,,99900009,,,1
3695872,712,,"CURSO SUPERIOR DE TECNOLOGIA EM ESTÉTICA E COSMÉTICA",G,1,9257,3,90000005,4,,1
62797,314,,"LICENCIATURA EM COMPUTAÇÃO",G,1,9267,3,90000005,8067070,,1
11442,428,JCTIAGRP,"TÉCNICO EM AGROPECUÁRIA - INTEGRADO AO ENSINO MÉDIO",M,1,8971,,,,,1
11443,428,JCTIINFO,"TÉCNICO EM INFORMÁTICA - INTEGRADO AO ENSINO MÉDIO",M,1,8971,,,,,1
3561806,692,"FWTSCOMEEAD - 11010","TÉCNICO EM COMÉRCIO- FW",T,2,8883,,60000007,,171158,1
60512,354,,"LICENCIATURA EM CIÊNCIAS BIOLÓGICAS",G,1,9091,4,20000006,8067070,,1
3771751,269,SRTALSP,"TÉCNICO EM ALIMENTOS - PROEJA",N,1,9244,,90000005,,6264212,1
12341,428,JCTPCOM,"CURSO TÉCNICO EM COMÉRCIO - PROEJA",M,1,8971,,,,,1
2399357,428,JCTPCOM,"TÉCNICO EM COMÉRCIO - PROEJA",N,1,8971,,60000007,,171158,1
